Source,Destination,Relation
4514,214,4
1610,4381,9
110,2942,6
1602,1985,6
4176,4176,10
1484,4008,8
2702,2702,10
822,4954,9
940,4726,9
4505,4505,10
2401,325,1
376,3850,8
3305,1661,1
4958,337,4
630,4040,5
2162,273,1
769,4046,5
324,2562,6
775,775,10
1556,3452,6
3930,176,3
4273,1489,4
2578,2578,10
1123,3578,7
4045,1415,0
685,2510,6
1104,1104,10
1161,4582,9
1672,2784,6
2733,4,1
5074,1301,4
836,4045,5
322,322,10
5318,199,4
535,2886,6
1117,2077,6
2125,2125,10
800,3965,8
1410,4045,5
4045,1707,0
552,3750,7
1259,5267,9
96,2059,6
2605,1126,1
2374,1506,1
2054,909,1
913,3826,7
3056,638,1
437,1970,6
1714,4325,9
3659,500,2
1448,1448,10
1759,1759,10
1675,2297,6
1732,4867,9
1912,1583,1
3065,1028,1
1529,4043,5
2826,1506,1
3074,894,1
1004,2393,6
4593,280,4
3523,1569,1
3282,102,1
4045,1609,0
4027,305,3
2479,1482,1
377,4032,5
840,4046,5
1660,2872,6
4048,1617,0
1465,2545,6
3503,1561,1
4032,1703,0
230,5115,9
4053,1541,0
438,3886,8
1593,4605,9
2483,1606,1
3906,3906,10
2432,2432,10
1207,3339,6
4715,548,4
4045,1243,0
3651,682,2
2144,143,1
2824,438,1
1596,4089,9
722,4042,5
2816,798,1
1650,1650,10
4031,1355,0
3453,3453,10
1135,4678,9
762,3622,7
743,1922,6
418,418,10
4042,58,0
4793,1383,4
4045,1669,0
4360,1200,4
2585,287,1
1368,4045,5
4579,4579,10
4046,840,0
2574,902,1
236,4042,5
52,52,10
138,4045,5
3646,817,2
4050,124,0
1855,1855,10
4034,472,0
381,381,10
49,3110,6
5048,1561,4
2319,1862,1
1550,3663,7
911,4046,5
553,5256,9
4043,600,0
1072,2811,6
3967,1681,3
1073,1073,10
2353,319,1
2791,688,1
391,2716,6
1402,1402,10
4046,346,0
4034,1160,0
4050,154,0
4034,898,0
4034,502,0
5241,1739,4
3467,755,1
1101,3979,8
591,4034,5
4038,310,0
793,4042,5
2199,2199,10
1072,3103,6
3149,1578,1
1790,4839,9
746,2165,7
3362,972,1
5148,1271,4
327,4050,5
3238,1739,1
1642,3733,7
605,3048,6
4034,532,0
1746,1746,10
574,4034,5
1360,4140,9
1667,4253,9
1344,4622,9
3549,3549,10
4545,1823,4
1546,5027,9
1830,2496,6
3961,1097,3
1380,1380,10
612,2078,6
4083,1638,4
2213,1103,1
530,3918,8
1057,2390,6
3183,3183,10
2427,1352,1
1709,1709,10
1756,3727,7
1712,4053,5
929,3483,6
557,4034,5
5241,1141,4
148,148,10
2415,1246,1
3958,1515,3
5122,1307,4
1668,4795,9
189,4038,5
1633,2837,6
622,3958,8
4204,4204,10
2730,2730,10
4324,558,4
4533,4533,10
3850,250,3
1803,4031,5
604,2072,6
44,3918,8
3109,252,1
1226,4053,5
4313,964,4
830,2084,6
853,4728,9
4183,1482,4
2197,1853,1
172,4038,5
803,803,10
1574,4041,5
2770,1500,1
1212,4031,5
166,5171,9
4871,997,4
2290,1718,1
1416,3985,8
1713,3034,6
924,3660,7
645,4034,5
4210,415,4
755,4032,5
4877,4877,10
350,350,10
1272,2687,6
931,1990,6
931,2386,6
145,5101,9
4530,988,4
679,679,10
1809,2620,6
2855,1620,1
219,2922,6
930,3810,7
2196,1163,1
2758,1162,1
4056,1380,4
3559,1090,2
690,1894,6
3438,1457,1
1476,1476,10
44,4153,9
1466,3243,6
3279,3279,10
1517,5303,9
328,2992,6
3447,110,1
4527,1722,4
2315,503,1
208,3304,6
1434,4033,5
799,1964,6
4769,728,4
2633,1580,1
2293,1523,1
2497,2497,10
4866,1321,4
1674,4043,5
2621,1474,1
4300,4300,10
4077,1382,4
384,5079,9
1688,2766,6
4889,130,4
1619,5137,9
5315,1313,4
1022,2260,6
3426,40,1
1311,4962,9
4278,1328,4
614,4771,9
31,4935,9
1417,4033,5
2395,175,1
192,4037,5
149,5103,9
679,2306,6
1550,4053,5
787,2022,6
293,4042,5
1360,3113,6
2505,307,1
1229,2461,6
792,2604,6
5212,502,4
1047,5246,9
1691,2937,6
327,2936,6
4407,200,4
1304,4033,5
117,117,10
3481,3481,10
3433,964,1
241,4485,9
1429,4041,5
328,3052,6
1695,2221,6
499,4046,5
446,446,10
3810,3810,10
969,4034,5
5312,1761,4
1339,3043,6
245,5267,9
1219,3221,6
1274,5350,9
2969,601,1
4630,630,4
929,4846,9
672,3645,7
213,2081,6
80,80,10
4387,1562,4
1798,2171,6
4926,1673,4
3918,1125,3
3786,235,2
4048,1819,0
381,4042,5
4719,1502,4
4026,682,3
729,4030,5
1101,1101,10
4495,66,4
4010,1427,3
333,4555,9
