Source,Destination,Relation
5490,9635,6
11377,1027,0
4947,11074,7
4850,11618,9
12218,5419,4
12418,6724,4
1394,8610,6
11862,5267,4
11377,107,0
11371,1303,0
10339,4732,1
3666,10285,6
11311,1640,3
11372,1815,0
11552,3678,4
3914,8357,6
5417,11803,9
11454,178,4
8052,6288,1
11755,4198,4
3712,7928,6
11486,60,4
11088,2347,3
4148,8247,6
3347,11337,8
4777,11384,5
10222,10222,10
2582,11372,5
5955,9199,6
3770,9773,6
4404,11797,9
2217,9868,7
12132,2189,4
8666,8666,10
7852,3160,2
5242,9753,6
775,775,10
1748,9868,7
4025,7264,6
7380,1374,1
4341,9766,6
7142,5283,1
12662,4859,4
8068,3733,1
12098,5895,4
329,11385,5
2578,2578,10
7486,2356,1
11413,3019,4
1104,1104,10
7956,1948,1
10482,3038,2
12449,3204,4
3488,11393,5
8397,4586,1
4882,11384,5
4800,8894,6
11184,1537,3
8273,5486,1
11373,305,0
2999,7719,6
11510,3216,4
12353,3386,4
12446,1198,4
1315,7383,6
9431,1224,1
8975,1842,1
6334,11501,9
322,322,10
434,11385,5
6395,11698,9
2125,2125,10
3970,11383,5
4639,11372,5
1371,8130,6
11858,3916,4
11062,1684,2
6398,8449,6
12672,3239,4
11256,6789,3
11779,1551,4
11539,858,4
3246,11696,9
3223,12338,9
11954,6025,4
11372,144,0
4364,8921,6
9408,5003,1
9046,4597,1
4743,11455,9
2770,7497,6
9745,5943,1
11187,1051,3
12208,2480,4
3563,12711,9
3883,10131,6
8485,4720,1
11965,4332,4
10032,6125,1
1305,12404,9
6169,6985,6
11391,5953,0
833,11451,9
1476,10858,7
2056,9171,6
4707,11096,8
10335,2625,1
11372,436,0
11372,40,0
4750,11388,5
9989,9989,10
11257,4769,3
1625,7301,6
4371,12077,9
2968,7465,6
5196,11373,5
11759,1835,4
11445,438,4
9822,6768,1
12185,3414,4
11257,2770,3
2103,11381,5
3906,3906,10
5133,9674,6
3569,11782,9
2432,2432,10
9449,95,1
10578,2288,2
2863,7233,6
2297,7036,6
695,10851,7
8470,4216,1
6537,12216,9
10417,4054,1
4917,12266,9
10073,6164,1
7040,72,1
2855,10741,7
10633,5892,2
1650,1650,10
1606,8068,6
1828,11249,8
2843,10635,7
11388,6663,0
9161,2952,1
3453,3453,10
3248,11374,5
11626,3745,4
11392,6075,0
2116,11371,5
4802,7747,6
11368,4627,0
11385,4657,0
11385,5053,0
4332,7631,6
8016,5700,1
418,418,10
3358,11372,5
5652,11369,5
6025,8619,6
4444,7021,6
262,11373,5
36,11257,8
11622,3255,4
41,12538,9
5061,11368,5
6303,11394,5
11379,6699,0
957,11386,5
12295,1474,4
12207,1533,4
12556,267,4
930,8007,6
2470,10308,6
1021,7955,6
454,12579,9
2156,8911,6
11342,5053,3
10528,4769,2
5571,11064,7
11808,6457,4
2389,7502,6
1732,12032,9
11388,6827,0
3073,10881,7
7088,2812,1
3072,9012,6
11385,4821,0
3327,11654,9
6158,11449,9
6345,9380,6
11841,3878,4
6163,12689,9
9026,4813,1
1201,11392,5
12208,181,4
11385,2822,0
4042,11377,5
41,12306,9
3680,11367,5
12610,4467,4
6258,11088,8
11419,504,4
1089,10044,6
1383,11434,9
10033,5258,1
5330,10444,7
4138,11377,5
3388,10926,7
5466,8268,6
6072,11389,5
11649,62,4
696,12011,9
2969,8597,6
3494,10988,7
3446,11373,5
2199,2199,10
